codigo,nombre,modelo_aplicable,categoria,precio_publico,precio_distribuidor,stock_minimo,stock_maximo
AGUILA-001,Motor,AGUILA,REFACCION,2772,1940,2,10
AGUILA-002,Tapa extrena motor,AGUILA,REFACCION,400,280,2,10
AGUILA-003,Circlip del motor,AGUILA,REFACCION,20,14,2,10
AGUILA-004,llanta delantera,AGUILA,REFACCION,945,662,2,10
AGUILA-005,Llantas,AGUILA,REFACCION,500,350,2,10
AGUILA-006,Estrella de motor,AGUILA,REFACCION,200,140,2,10
AGUILA-007,Freno de disco (completo),AGUILA,REFACCION,1056,739,2,10
AGUILA-008,Freno de tambor,AGUILA,REFACCION,300,210,2,10
AGUILA-009,Zapata de freno delantero,AGUILA,REFACCION,50,35,2,10
AGUILA-010,Zapata de freno trasero,AGUILA,REFACCION,60,42,2,10
AGUILA-011,Valvula de aire,AGUILA,REFACCION,50,35,2,10
AGUILA-012,Eje de llanta delantera,AGUILA,REFACCION,154,108,2,10
AGUILA-013,Reflector de tijera,AGUILA,REFACCION,22,15,2,10
AGUILA-014,Reflector de salpicadera,AGUILA,REFACCION,12,8,2,10
AGUILA-016,Alarma,AGUILA,REFACCION,435,305,2,10
AGUILA-017,Switch de encendido,AGUILA,REFACCION,368,258,2,10
AGUILA-019,Baleros de pedales,AGUILA,REFACCION,80,56,2,10
AGUILA-020,Eje de pedales,AGUILA,REFACCION,160,112,2,10
AGUILA-021,Brazo de pedal,AGUILA,REFACCION,140,98,2,10
AGUILA-022,Cadena,AGUILA,REFACCION,108,76,2,10
AGUILA-023,Espejos retrovisores,AGUILA,REFACCION,200,140,2,10
AGUILA-024,Parador lateral,AGUILA,REFACCION,145,102,2,10
AGUILA-025,Pedales,AGUILA,REFACCION,116,81,2,10
AGUILA-026,Reposapies retactiles,AGUILA,REFACCION,66,46,2,10
AGUILA-027,Estrella de eje de pedales,AGUILA,REFACCION,66,46,2,10
AGUILA-028,Claxon,AGUILA,REFACCION,120,84,2,10
AGUILA-029,Manubrio,AGUILA,REFACCION,468,327,2,10
AGUILA-030,Tubo de direccion,AGUILA,REFACCION,215,151,2,10
AGUILA-033,Cortacorriente principal,AGUILA,REFACCION,88,62,2,10
AGUILA-034,Espaciador de eje delantero,AGUILA,REFACCION,4,3,2,10
AGUILA-035,Pantalla,AGUILA,REFACCION,555,389,2,10
AGUILA-036,cubre cables,AGUILA,REFACCION,22,15,2,10
AGUILA-037,Chicote de freno trasero,AGUILA,REFACCION,148,104,2,10
AGUILA-040,Faro,AGUILA,REFACCION,780,546,2,10
AGUILA-041,Intermitentes delanteros,AGUILA,REFACCION,140,98,2,10
AGUILA-042,Intermitentes traseros,AGUILA,REFACCION,140,98,2,10
AGUILA-043,Amortiguador trasero,AGUILA,REFACCION,480,336,2,10
AGUILA-044,Chasis,AGUILA,REFACCION,3875,2713,2,10
AGUILA-045,Tijera,AGUILA,REFACCION,1530,1071,2,10
AGUILA-046,Arnes,AGUILA,REFACCION,763,534,2,10
AGUILA-047,Arnes de bateria,AGUILA,REFACCION,275,193,2,10
AGUILA-048,Asiento,AGUILA,REFACCION,1050,735,2,10
AGUILA-049,Calabera,AGUILA,REFACCION,425,298,2,10
AGUILA-050,Piso,AGUILA,REFACCION,275,193,2,10
AGUILA-051,Barra de baterias,AGUILA,REFACCION,165,116,2,10
AGUILA-052,Salpicadera delantera,AGUILA,REFACCION,450,315,2,10
AGUILA-053,Agarradera trasera,AGUILA,REFACCION,430,301,2,10
AGUILA-054,Slider (izquierdo y derecho),AGUILA,REFACCION,195,137,2,10
AGUILA-055,Panel frontal de faro,AGUILA,REFACCION,625,438,2,10
AGUILA-056,Cubierta interior delantera,AGUILA,REFACCION,250,175,2,10
AGUILA-059,Gancho,AGUILA,REFACCION,30,21,2,10
AGUILA-060,Tapones para sliders,AGUILA,REFACCION,10,7,2,10
AGUILA-061,Caja de asiento,AGUILA,REFACCION,358,250,2,10
AGUILA-062,Plastico superior de calabera,AGUILA,REFACCION,113,79,2,10
AGUILA-063,Marco cubre calabera,AGUILA,REFACCION,83,58,2,10
AGUILA-064,Tapones de piso,AGUILA,REFACCION,5,4,2,10
AGUILA-065,Flash,AGUILA,REFACCION,76,53,2,10
AGUILA-066,Caja de baterias,AGUILA,REFACCION,220,154,2,10
AGUILA-067,chip para respaldo,AGUILA,REFACCION,5,4,2,10
AGUILA-068,Plastico protector de tijera,AGUILA,REFACCION,83,58,2,10
AGUILA-069,Placa de bisagra de asiento,AGUILA,REFACCION,28,19,2,10
AGUILA-072,Salpicadera trasera,AGUILA,REFACCION,193,135,2,10
AGUILA-073,Extension de salpicadera trasera,AGUILA,REFACCION,165,116,2,10
AGUILA-074,Cubierta plastica de salpicadera,AGUILA,REFACCION,375,263,2,10
AGUILA-076,iluminacion RGB (izquierda o,AGUILA,REFACCION,450,315,2,10
AGUILA-077,Lodera delantera,AGUILA,REFACCION,83,58,2,10
AGUILA-078,Conexion para tapas de cajuela,AGUILA,REFACCION,333,233,2,10
AGUILA-081,Cubierta plastica de cola de pato,AGUILA,REFACCION,150,105,2,10
AGUILA-082,Protector de pantalla,AGUILA,REFACCION,195,137,2,10
AGUILA-083,Caja de baterias,AGUILA,REFACCION,225,158,2,10
AGUILA-084,Regulador,AGUILA,REFACCION,275,193,2,10
AGUILA-085,Tapa de caja de baterias,AGUILA,REFACCION,200,140,2,10
AGUILA-086,Tapa de ECU,AGUILA,REFACCION,110,77,2,10
AGUILA-087,Caballete central,AGUILA,REFACCION,460,322,2,10
AGUILA-088,Tornillos de caballete,AGUILA,REFACCION,12,8,2,10
AGUILA-089,Resorte de caballete,AGUILA,REFACCION,15,11,2,10
AGUILA-090,Goma para caballete,AGUILA,REFACCION,12,8,2,10
AGUILA-092,Soporte de cola de pato,AGUILA,REFACCION,240,168,2,10
AGUILA-093,Facia,AGUILA,REFACCION,138,96,2,10
AGUILA-094,Disco de freno ( Únicamente),AGUILA,REFACCION,390,273,2,10
AGUILA PRO-001,Motor,AGUILA PRO,REFACCION,2772,1940,2,10
AGUILA PRO-002,Tapa extremo motor,AGUILA PRO,REFACCION,400,280,2,10
AGUILA PRO-003,Circlip del motor,AGUILA PRO,REFACCION,20,14,2,10
AGUILA PRO-004,Rin delantero,AGUILA PRO,REFACCION,1260,882,2,10
AGUILA PRO-005,Llantas,AGUILA PRO,REFACCION,500,350,2,10
AGUILA PRO-006,Estrella del motor,AGUILA PRO,REFACCION,200,140,2,10
AGUILA PRO-007,Freno de disco (delantero),AGUILA PRO,REFACCION,1008,706,2,10
AGUILA PRO-008,Freno de barata (trasero),AGUILA PRO,REFACCION,300,210,2,10
AGUILA PRO-009,Disco,AGUILA PRO,REFACCION,450,315,2,10
AGUILA PRO-012,Pivote de llanta,AGUILA PRO,REFACCION,50,35,2,10
AGUILA PRO-013,eje frontar,AGUILA PRO,REFACCION,196,137,2,10
AGUILA PRO-014,Reflector delantero,AGUILA PRO,REFACCION,22,15,2,10
AGUILA PRO-015,Reflector salpicadera,AGUILA PRO,REFACCION,12,8,2,10
AGUILA PRO-017,Alarma,AGUILA PRO,REFACCION,285,200,2,10
AGUILA PRO-018,Switch de encendido,AGUILA PRO,REFACCION,238,166,2,10
AGUILA PRO-020,Baleros de pedales,AGUILA PRO,REFACCION,80,56,2,10
AGUILA PRO-021,Eje de pedales,AGUILA PRO,REFACCION,165,116,2,10
AGUILA PRO-022,Brazos para pedales,AGUILA PRO,REFACCION,112,78,2,10
AGUILA PRO-023,Cadena,AGUILA PRO,REFACCION,108,76,2,10
AGUILA PRO-024,Espejos retrovisores,AGUILA PRO,REFACCION,200,140,2,10
AGUILA PRO-025,Parador lateral,AGUILA PRO,REFACCION,145,102,2,10
AGUILA PRO-026,Pedales,AGUILA PRO,REFACCION,116,81,2,10
AGUILA PRO-027,Reposapies retractil,AGUILA PRO,REFACCION,264,185,2,10
AGUILA PRO-028,Estrella de eje de pedales,AGUILA PRO,REFACCION,66,46,2,10
AGUILA PRO-029,Claxon,AGUILA PRO,REFACCION,150,105,2,10
AGUILA PRO-030,Manubrio,AGUILA PRO,REFACCION,225,158,2,10
AGUILA PRO-031,Acelerador,AGUILA PRO,REFACCION,475,333,2,10
AGUILA PRO-032,Tubo de direccion,AGUILA PRO,REFACCION,163,114,2,10
